Airport Code,X,Y
ADK,0014,0802
ANC,0135,0748
BRW,0142,0613
BET,0057,0735
CDV,0164,0760
SCC,0135,0748
DLG,0073,0762
FAI,0158,0701
JNU,0234,0793
KTN,0262,0829
AKN,0083,0770
ADQ,0106,0792
OTZ,0091,0660
OME,0063,0680
PSG,0242,0813
SIT,0232,0815
WRG,0252,0814
YAK,0201,0777
BHM,0932,0587
DHN,0970,0638
HSV,0929,0550
MOB,0905,0674
MGM,0942,0620
XNA,0747,0527
FSM,0743,0551
LIT,0792,0566
TXK,0757,0609
FLG,0311,0536
AZA,0301,0602
PHX,0271,0602
PRC,0285,0546
TUS,0328,0640
YUM,0234,0605
ACV,0064,0387
BFL,0126,0499
BIH,0163,0435
BUR,0153,0542
FAT,0128,0453
LGB,0156,0551
LAX,0148,0548
MRY,0079,0447
OAK,0076,0403
ONT,0164,0546
PSP,0194,0566
RDD,0100,0312
SMF,0097,0385
SAN,0171,0588
SFO,0073,0410
SJC,0078,0413
SBP,0102,0490
SNA,0164,0561
SBA,0111,0521
SMX,0100,0505
STS,0072,0382
SCK,0099,0406
ALS,0459,0482
ASE,0430,0434
COS,0501,0453
DEN,0497,0419
DRO,0413,0490
EGE,0430,0420
GJT,0401,0442
GUC,0431,0456
HDN,0432,0394
MTJ,0410,0451
PUB,0494,0466
BDL,1200,0242
ILG,1157,0335
DAB,1092,0678
FLL,1127,0788
RSW,1094,0768
GNV,1059,0671
JAX,1070,0644
EYW,1106,0813
MLB,1110,0710
MIA,1128,0781
MCO,1095,0706
ECP,0972,0672
PNS,0929,0674
PGD,1082,0756
SFB,1091,0689
SRQ,1064,0744
PIE,1057,0728
TLH,1001,0662
TPA,1062,0729
VPS,0947,0670
PBI,1129,0754
ABY,0999,0626
ATL,0982,0570
AGS,1048,0559
BQK,1073,0624
CSG,0983,0600
SAV,1075,0592
VLD,1022,0643
ITO,0103,0869
HNL,0049,0835
OGG,0078,0847
KOA,0086,0868
LIH,0022,0824
CID,0794,0345
DSM,0739,0364
DBQ,0809,0335
FOD,0720,0338
MCW,0751,0317
SUX,0684,0342
ALO,0764,0328
BOI,0253,0269
IDA,0338,0286
LWS,0253,0187
PIH,0318,0310
SUN,0292,0280
TWF,0284,0310
BLV,0838,0440
BMI,0853,0383
CMI,0871,0393
MDW,0876,0333
ORD,0869,0332
DEC,0855,0395
MLI,0813,0364
PIA,0823,0372
RFD,0846,0331
SPI,0832,0403
EVV,0895,0450
FWA,0935,0350
IND,0918,0403
SBN,0903,0334
DDC,0602,0479
GCK,0575,0480
HYS,0613,0448
LBL,0582,0505
MHK,0688,0441
SLN,0654,0452
ICT,0668,0486
CVG,0957,0412
LEX,0968,0437
SDF,0934,0439
OWB,0911,0460
PAH,0874,0486
AEX,0791,0671
BTR,0834,0687
LFT,0810,0698
LCH,0779,0705
MLU,0803,0633
MSY,0857,0703
SHV,0764,0643
BOS,1228,0214
ORH,1212,0226
BWI,1136,0354
HGR,1110,0347
SBY,1169,0370
BGR,1245,0122
PWM,1229,0171
PQI,1240,064
APN,0944,0224
DTW,0966,0299
ESC,0868,0221
FNT,0955,0289
GRR,0916,0286
CMX,0837,0180
IMT,0853,0220
AZO,0922,0312
LAN,0932,0297
MQT,0861,0204
MKG,0905,0288
PLN,0920,0215
MBS,0946,0273
CIU,0921,0194
TVC,0910,0240
BJI,0700,0173
BRD,0721,0221
DLH,0854,0251
HIB,0752,0184
INL,0732,0153
MSP,0747,0261
RST,0769,0288
STC,0733,0244
CGI,0849,0479
COU,0780,0436
TBN,0790,0480
JLN,0737,0498
MCI,0724,0434
SGF,0758,0490
STL,0826,0440
GTR,0887,0587
GPT,0884,0684
PIB,0871,0655
JAN,0853,0633
MEI,0881,0627
BIL,0412,0223
BZN,0365,0222
BTM,0342,0221
GTF,0353,0171
HLN,0348,0192
FCA,0307,0141
MSO,0312,0175
AVL,1024,0503
CLT,1064,0500
USA,1069,0489
FAY,1113,0490
GSO,1083,0466
PGV,1147,0461
OAJ,1142,0493
EWN,1158,0478
RDU,1109,0463
ILM,1145,0502
BIS,0577,0210
DVL,0625,0175
DIK,0542,0211
FAR,0665,0210
GFK,0660,0182
JMS,0630,0209
MOT,0567,0171
XWA,0527,0164
GRI,0642,0387
EAR,0615,0396
LNK,0680,0391
LBF,0585,0381
OMA,0694,0379
BFF,0524,0363
MHT,1214,0198
PSM,1222,0197
ACY,1180,0327
EWR,1179,0286
TTN,1167,0302
ABQ,0421,0551
HOB,0518,0635
ROW,0495,0610
SAF,0451,0540
EKO,0239,0346
LAS,0233,0504
RNO,0146,0372
ALB,1165,0225
BGM,1124,0259
BUF,1067,0261
ELM,1098,0268
ISP,1200,0278
ITH,1111,0254
JFK,1189,0287
